gene	chromosome	start	end	strand	length
tetur41g00720	chromosome_1	41274	45044	+	3771
tetur41g00710	chromosome_1	45583	46661	-	1079
tetur41g00700	chromosome_1	48254	48414	-	161
tetur41g00690	chromosome_1	48588	50483	+	1896
tetur41g00670	chromosome_1	53359	76301	-	22943
tetur41g00723	chromosome_1	65265	65754	+	490
tetur41g00660	chromosome_1	77388	78773	-	1386
tetur41g00650	chromosome_1	79584	80027	+	444
tetur41g00640	chromosome_1	80287	85076	-	4790
tetur41g00620	chromosome_1	82930	87194	-	4265
tetur41g00610	chromosome_1	87521	87839	+	319
tetur41g00600	chromosome_1	88104	88450	-	347
tetur41g00590	chromosome_1	90395	91620	+	1226
tetur41g00580	chromosome_1	93004	101975	+	8972
tetur41g00722	chromosome_1	97677	97888	-	212
tetur41g00560	chromosome_1	108280	108999	-	720
tetur41g00540	chromosome_1	111411	111575	-	165
tetur41g00530	chromosome_1	112144	114148	-	2005
tetur41g00520	chromosome_1	114648	130758	-	16111
tetur41g00510	chromosome_1	123683	126233	+	2551
tetur41g00500	chromosome_1	131120	131439	-	320
tetur41g00490	chromosome_1	131520	131900	-	381
tetur41g00480	chromosome_1	132423	135087	-	2665
tetur41g00460	chromosome_1	135439	137461	+	2023
tetur41g00450	chromosome_1	138439	139362	+	924
tetur41g00430	chromosome_1	142067	143553	+	1487
tetur41g00420	chromosome_1	150299	150541	-	243
tetur41g00410	chromosome_1	152359	152693	+	335
tetur41g00400	chromosome_1	156247	156661	+	415
tetur41g00390	chromosome_1	168546	169395	+	850
tetur41g00380	chromosome_1	170446	171327	-	882
tetur41g00370	chromosome_1	174734	177024	-	2291
tetur41g00360	chromosome_1	178876	179115	+	240
tetur41g00350	chromosome_1	179140	180418	+	1279
tetur41g00340	chromosome_1	181420	182754	-	1335
tetur41g91055	chromosome_1	189609	190172	+	564
tetur41g00300	chromosome_1	190235	196366	+	6132
tetur41g00310	chromosome_1	195692	196009	-	318
tetur41g00290	chromosome_1	197205	197452	-	248
tetur41g91056	chromosome_1	197900	198587	-	688
tetur41g91057	chromosome_1	199384	199700	+	317
tetur41g00280	chromosome_1	206341	216581	-	10241
tetur41g00270	chromosome_1	219767	224208	+	4442
tetur41g00260	chromosome_1	228003	228878	+	876
tetur41g00250	chromosome_1	229441	231217	-	1777
tetur41g00240	chromosome_1	231714	232930	+	1217
tetur41g00230	chromosome_1	233714	235470	+	1757
tetur41g00220	chromosome_1	235651	236491	-	841
tetur41g00210	chromosome_1	237085	239326	-	2242
tetur41g00200	chromosome_1	240371	241902	-	1532
tetur41g00190	chromosome_1	242637	243614	+	978
tetur41g00180	chromosome_1	245118	255172	+	10055
tetur41g00160	chromosome_1	255463	257666	-	2204
tetur41g00150	chromosome_1	258107	262598	-	4492
tetur41g00120	chromosome_1	268363	281353	-	12991
tetur41g00100	chromosome_1	277523	278890	+	1368
tetur41g00080	chromosome_1	285105	287366	+	2262
tetur41g00010	chromosome_1	286466	321488	-	35023
tetur41g00030	chromosome_1	312061	312363	+	303
tetur36g00010	chromosome_1	324252	325688	-	1437
tetur36g00030	chromosome_1	329356	330113	+	758
tetur36g00040	chromosome_1	343030	343832	-	803
tetur36g00050	chromosome_1	352068	353164	+	1097
tetur36g00060	chromosome_1	353647	354137	+	491
tetur36g00090	chromosome_1	357003	370283	-	13281
tetur36g00100	chromosome_1	366120	367481	+	1362
tetur36g00120	chromosome_1	374039	375388	+	1350
tetur36g00130	chromosome_1	375388	376387	-	1000
tetur36g00160	chromosome_1	377039	398680	-	21642
tetur36g91061	chromosome_1	404947	405126	-	180
tetur36g00170	chromosome_1	405614	405781	+	168
tetur36g00180	chromosome_1	408984	409287	-	304
tetur36g00190	chromosome_1	409063	411296	+	2234
tetur36g00210	chromosome_1	411589	412851	-	1263
tetur36g00220	chromosome_1	413622	415310	+	1689
tetur36g00230	chromosome_1	415759	423323	+	7565
tetur36g00240	chromosome_1	423902	426284	-	2383
tetur36g00250	chromosome_1	428655	430478	-	1824
tetur36g00260	chromosome_1	431189	433843	-	2655
tetur36g00270	chromosome_1	435580	483760	-	48181
tetur36g00280	chromosome_1	459193	459693	-	501
tetur36g00290	chromosome_1	462686	463121	-	436
tetur36g00320	chromosome_1	485937	488817	-	2881
tetur36g00330	chromosome_1	489052	490653	+	1602
tetur36g00340	chromosome_1	490814	492866	-	2053
tetur36g00350	chromosome_1	493392	493721	+	330
tetur36g00360	chromosome_1	494252	494381	+	130
tetur36g00370	chromosome_1	494897	498438	+	3542
tetur36g00380	chromosome_1	498683	500934	+	2252
tetur36g00390	chromosome_1	502964	507320	+	4357
tetur36g00400	chromosome_1	510005	510280	-	276
tetur36g91063	chromosome_1	510330	510581	-	252
tetur36g00410	chromosome_1	520015	520214	-	200
tetur36g91064	chromosome_1	535827	536568	-	742
tetur36g00420	chromosome_1	539233	541228	-	1996
tetur36g91065	chromosome_1	547412	547567	+	156
tetur36g91066	chromosome_1	549184	549634	-	451
tetur36g00430	chromosome_1	557051	558879	-	1829
tetur36g00440	chromosome_1	559921	563398	-	3478
tetur36g00450	chromosome_1	563503	565995	-	2493
tetur36g00460	chromosome_1	566101	567534	+	1434
tetur36g00470	chromosome_1	568197	569016	+	820
tetur36g00480	chromosome_1	569888	571495	+	1608
tetur36g91302	chromosome_1	572040	573117	+	1078
tetur36g91067	chromosome_1	573270	574182	+	913
tetur36g00490	chromosome_1	574270	576155	-	1886
tetur36g00500	chromosome_1	576645	578049	-	1405
tetur36g00510	chromosome_1	578783	580102	+	1320
tetur36g00520	chromosome_1	582379	583360	+	982
tetur36g00530	chromosome_1	584292	585506	+	1215
tetur36g00580	chromosome_1	587899	624473	-	36575
tetur36g00590	chromosome_1	626640	642731	+	16092
tetur36g00600	chromosome_1	644366	648541	+	4176
tetur36g00610	chromosome_1	649252	649758	+	507
tetur36g00620	chromosome_1	652723	652861	+	139
tetur36g00630	chromosome_1	656101	658215	-	2115
tetur36g00640	chromosome_1	658222	660920	-	2699
tetur36g00650	chromosome_1	661132	666041	-	4910
tetur36g00660	chromosome_1	666266	668534	+	2269
tetur36g00670	chromosome_1	668741	670779	-	2039
tetur36g00680	chromosome_1	671628	673525	+	1898
tetur36g91069	chromosome_1	675575	675730	+	156
tetur36g91070	chromosome_1	676895	677183	+	289
tetur36g91071	chromosome_1	681208	681387	+	180
tetur36g91072	chromosome_1	681915	682157	-	243
tetur36g00690	chromosome_1	683180	685388	+	2209
tetur36g00700	chromosome_1	686728	705271	-	18544
tetur36g00710	chromosome_1	695745	696638	-	894
tetur36g00720	chromosome_1	697241	698640	+	1400
tetur36g00730	chromosome_1	702416	711000	-	8585
tetur36g00740	chromosome_1	727382	729175	+	1794
tetur36g00750	chromosome_1	730135	731725	+	1591
tetur36g91073	chromosome_1	733517	733893	+	377
tetur36g00760	chromosome_1	734059	735794	+	1736
tetur36g91074	chromosome_1	736386	737146	+	761
tetur36g00770	chromosome_1	738417	740358	+	1942
tetur36g00780	chromosome_1	741530	742678	-	1149
tetur36g00790	chromosome_1	742895	743451	+	557
tetur36g00800	chromosome_1	743641	744846	-	1206
tetur36g00810	chromosome_1	745568	750947	-	5380
tetur36g00820	chromosome_1	751055	751343	+	289
tetur36g00830	chromosome_1	755247	758700	+	3454
tetur36g00840	chromosome_1	762916	763182	+	267
tetur36g00850	chromosome_1	765225	767549	+	2325
tetur36g00860	chromosome_1	770911	771409	+	499
tetur36g00870	chromosome_1	772415	772740	+	326
tetur36g00880	chromosome_1	775005	775281	+	277
tetur36g00890	chromosome_1	781898	782034	-	137
tetur36g00900	chromosome_1	797866	798192	+	327
tetur36g00910	chromosome_1	798213	801562	-	3350
tetur36g00920	chromosome_1	801659	804028	+	2370
tetur36g00930	chromosome_1	803222	804247	-	1026
tetur36g00940	chromosome_1	807472	811566	+	4095
tetur36g00950	chromosome_1	812201	817439	-	5239
tetur36g00960	chromosome_1	818630	819001	+	372
tetur36g00970	chromosome_1	822307	826585	+	4279
tetur36g00980	chromosome_1	828724	830020	+	1297
tetur36g00990	chromosome_1	830357	831263	+	907
tetur36g01000	chromosome_1	831655	832764	+	1110
tetur36g01010	chromosome_1	833273	837652	-	4380
tetur36g01020	chromosome_1	837870	838095	+	226
tetur36g01030	chromosome_1	840388	841612	-	1225
tetur36g01040	chromosome_1	842051	842748	+	698
tetur36g01050	chromosome_1	842841	844321	-	1481
tetur36g91075	chromosome_1	845052	845531	-	480
tetur36g01060	chromosome_1	845824	847242	-	1419
tetur36g01070	chromosome_1	848970	850849	+	1880
tetur36g01080	chromosome_1	850820	851857	-	1038
tetur36g01090	chromosome_1	860515	871557	-	11043
tetur36g91076	chromosome_1	872760	872930	-	171
tetur36g01100	chromosome_1	872951	873266	-	316
tetur36g01110	chromosome_1	876611	878166	-	1556
tetur36g01120	chromosome_1	881657	881980	-	324
tetur36g01130	chromosome_1	883934	886524	-	2591
tetur36g01140	chromosome_1	887467	889410	+	1944
tetur36g01150	chromosome_1	889571	891242	-	1672
tetur36g01160	chromosome_1	892285	892421	+	137
tetur36g01170	chromosome_1	894577	895398	-	822
tetur36g01180	chromosome_1	897819	900064	-	2246
tetur36g01190	chromosome_1	902184	903690	+	1507
tetur36g01200	chromosome_1	907061	909781	+	2721
tetur36g01210	chromosome_1	912610	912911	-	302
tetur36g01220	chromosome_1	913415	915656	+	2242
tetur36g01230	chromosome_1	916183	920684	-	4502
tetur36g01240	chromosome_1	921734	925266	+	3533
tetur36g01250	chromosome_1	924374	925087	-	714
tetur36g01260	chromosome_1	925664	927745	-	2082
tetur36g01270	chromosome_1	929640	930562	+	923
tetur36g01280	chromosome_1	931658	936463	-	4806
tetur36g01290	chromosome_1	936704	941124	+	4421
tetur36g01310	chromosome_1	943412	943849	+	438
tetur36g01320	chromosome_1	946302	947516	+	1215
tetur36g01330	chromosome_1	967963	971629	-	3667
tetur36g01340	chromosome_1	972551	976319	+	3769
tetur36g91078	chromosome_1	978149	978537	+	389
tetur36g91079	chromosome_1	983135	983802	-	668
tetur36g01350	chromosome_1	994683	994805	+	123
tetur26g00010	chromosome_1	1028952	1029637	+	686
tetur26g00020	chromosome_1	1032396	1037065	+	4670
tetur26g00030	chromosome_1	1037654	1039180	+	1527
tetur26g00040	chromosome_1	1039368	1040385	-	1018
tetur26g00050	chromosome_1	1041009	1042259	+	1251
tetur26g00060	chromosome_1	1048328	1049742	+	1415
tetur26g00070	chromosome_1	1052486	1052828	-	343
tetur26g00080	chromosome_1	1053146	1053524	+	379
tetur26g91081	chromosome_1	1053864	1054327	+	464
tetur26g00090	chromosome_1	1055642	1062135	+	6494
tetur26g00100	chromosome_1	1066996	1069788	-	2793
tetur26g00110	chromosome_1	1073040	1073159	-	120
tetur26g00120	chromosome_1	1074121	1076199	+	2079
tetur26g00130	chromosome_1	1078181	1078637	-	457
tetur26g00140	chromosome_1	1079398	1090634	-	11237
tetur26g00150	chromosome_1	1093230	1099692	+	6463
tetur26g00160	chromosome_1	1102013	1102382	-	370
tetur26g00170	chromosome_1	1104912	1112826	-	7915
