chromosome	length
chromosome_1	32654540
chromosome_2	29215314
chromosome_3	23884949
scaffold_42	240004
scaffold_45	94041
scaffold_48	92045
scaffold_47	79825
scaffold_46	78946
scaffold_50	65945
scaffold_49	65247
scaffold_52	57962
scaffold_56	57793
scaffold_55	56857
scaffold_57	56569
scaffold_67	55142
scaffold_53	54950
scaffold_54	50473
scaffold_59	48839
scaffold_58	47501
scaffold_66	47383
scaffold_64	44828
scaffold_77	44478
scaffold_60	40915
scaffold_63	39299
scaffold_61	37636
scaffold_62	36630
scaffold_65	31498
scaffold_68	28935
scaffold_70	28186
scaffold_92	27490
scaffold_95	27344
scaffold_71	27003
scaffold_72	26491
scaffold_89	25500
scaffold_76	25101
scaffold_74	24377
scaffold_84	24349
scaffold_79	24278
scaffold_85	24222
scaffold_82	23207
scaffold_100	22273
scaffold_87	22222
scaffold_80	22122
scaffold_83	21487
scaffold_103	21287
scaffold_97	21144
scaffold_81	21112
scaffold_86	20442
scaffold_91	20335
scaffold_136	20092
scaffold_88	20013
scaffold_90	19562
scaffold_139	18883
scaffold_101	18517
scaffold_99	18342
scaffold_107	18048
scaffold_132	17426
scaffold_122	17409
scaffold_102	17175
scaffold_106	16942
scaffold_154	16658
scaffold_105	16654
scaffold_108	15772
scaffold_110	15515
scaffold_109	15444
scaffold_112	15035
scaffold_113	14910
scaffold_116	14839
scaffold_114	14816
scaffold_119	14686
scaffold_124	14482
scaffold_126	14299
scaffold_123	14255
scaffold_121	14232
scaffold_117	14218
scaffold_118	14193
scaffold_159	14068
scaffold_120	13994
scaffold_142	13902
scaffold_133	13623
scaffold_125	13609
scaffold_130	13549
scaffold_134	13370
scaffold_128	13367
scaffold_131	13239
scaffold_135	13075
scaffold_138	12867
scaffold_165	12858
scaffold_184	12807
scaffold_186	12739
scaffold_140	12714
scaffold_168	12660
scaffold_137	12605
scaffold_162	12604
scaffold_141	12566
scaffold_146	12264
scaffold_144	12149
scaffold_148	12100
scaffold_143	12073
scaffold_145	12036
scaffold_153	12033
scaffold_151	11925
scaffold_208	11830
scaffold_147	11722
scaffold_188	11668
scaffold_149	11659
scaffold_213	11652
scaffold_158	11615
scaffold_150	11596
scaffold_155	11574
scaffold_185	11571
scaffold_152	11523
scaffold_195	11337
scaffold_211	11290
scaffold_157	11165
scaffold_170	11116
scaffold_221	10966
scaffold_190	10792
scaffold_196	10676
scaffold_163	10640
scaffold_161	10603
scaffold_167	10529
scaffold_172	10157
scaffold_166	10154
